$ ./rmqsmoke tx
2020/08/20 13:29:37 connecting to amqp://rmq:sekrit@localhost:25672/...
2020/08/20 13:29:37 opening comms channel...
2020/08/20 13:29:37 TX: sending messages to rmq-default via rmq-default...
2020/08/20 13:29:37 initiating TX ->rmq-default @0|0
2020/08/20 13:29:37 --[ tx.START    0   0% ]----------
2020/08/20 13:29:44 --[ tx.COMPLETE 0 100% ]----------
2020/08/20 13:29:44 --[ tx.START    1   0% ]----------
2020/08/20 13:29:52 --[ tx.COMPLETE 1 100% ]----------
2020/08/20 13:29:52 --[ tx.START    2   0% ]----------
2020/08/20 13:30:01 --[ tx.COMPLETE 2 100% ]----------
2020/08/20 13:30:01 --[ tx.START    3   0% ]----------
2020/08/20 13:30:10 --[ tx.COMPLETE 3 100% ]----------
2020/08/20 13:30:10 --[ tx.START    4   0% ]----------
2020/08/20 13:30:22 --[ tx.COMPLETE 4 100% ]----------
2020/08/20 13:30:22 --[ tx.START    5   0% ]----------
2020/08/20 13:30:37 --[ tx.COMPLETE 5 100% ]----------
2020/08/20 13:30:37 --[ tx.START    6   0% ]----------
2020/08/20 13:30:53 --[ tx.COMPLETE 6 100% ]----------
2020/08/20 13:30:53 --[ tx.START    7   0% ]----------
2020/08/20 13:31:04 --[ tx.COMPLETE 7 100% ]----------
2020/08/20 13:31:04 --[ tx.START    8   0% ]----------
2020/08/20 13:31:13 --[ tx.COMPLETE 8 100% ]----------
2020/08/20 13:31:13 --[ tx.START    9   0% ]----------
2020/08/20 13:31:21 --[ tx.COMPLETE 9 100% ]----------
2020/08/20 13:31:21 --[ tx.START    10   0% ]----------
2020/08/20 13:31:29 --[ tx.COMPLETE 10 100% ]----------
2020/08/20 13:31:29 --[ tx.START    11   0% ]----------

2020/08/20 13:31:32 last sent '11|351'
2020/08/20 13:31:32 connecting to amqp://rmq:sekrit@localhost:25672/...
2020/08/20 13:31:32 opening comms channel...
2020/08/20 13:31:32 TX: sending messages to rmq-default via rmq-default...
2020/08/20 13:31:32 initiating TX ->rmq-default @11|351
2020/08/20 13:31:38 --[ tx.COMPLETE 11 100% ]----------
2020/08/20 13:31:38 --[ tx.START    12   0% ]----------
2020/08/20 13:31:49 --[ tx.COMPLETE 12 100% ]----------
2020/08/20 13:31:49 --[ tx.START    13   0% ]----------
2020/08/20 13:32:03 --[ tx.COMPLETE 13 100% ]----------
2020/08/20 13:32:03 --[ tx.START    14   0% ]----------
2020/08/20 13:32:17 --[ tx.COMPLETE 14 100% ]----------
2020/08/20 13:32:17 --[ tx.START    15   0% ]----------
2020/08/20 13:32:31 --[ tx.COMPLETE 15 100% ]----------
2020/08/20 13:32:31 --[ tx.START    16   0% ]----------
2020/08/20 13:32:44 --[ tx.COMPLETE 16 100% ]----------
